分类,素材ID,中文名称,宽,高,透明,PNG路径,WEBP路径
brand,clocktower-title,钟楼标题主视觉（有字）,447,248,False,public/art/brand/clocktower-title.png,public/art/brand/clocktower-title.webp
brand,clocktower-wordmark,钟楼横向标题（有字）,297,97,False,public/art/brand/clocktower-wordmark.png,public/art/brand/clocktower-wordmark.webp
brand,clocktower-emblem,原创钟楼圆形标识,119,119,True,public/art/brand/clocktower-emblem.png,public/art/brand/clocktower-emblem.webp
backgrounds,town-night-red,暗夜钟楼街景,350,172,False,public/art/backgrounds/town-night-red.png,public/art/backgrounds/town-night-red.webp
backgrounds,town-day,白昼城镇广场,234,132,False,public/art/backgrounds/town-day.png,public/art/backgrounds/town-day.webp
backgrounds,town-night-blue,月夜城镇,228,132,False,public/art/backgrounds/town-night-blue.png,public/art/backgrounds/town-night-blue.webp
backgrounds,clocktower-close,钟楼特写,233,135,False,public/art/backgrounds/clocktower-close.png,public/art/backgrounds/clocktower-close.webp
backgrounds,tavern-interior,烛光酒馆,228,135,False,public/art/backgrounds/tavern-interior.png,public/art/backgrounds/tavern-interior.webp
backgrounds,town-fountain,城镇喷泉,201,135,False,public/art/backgrounds/town-fountain.png,public/art/backgrounds/town-fountain.webp
cards,identity-back,统一身份卡背（无字）,126,178,False,public/art/cards/identity-back.png,public/art/cards/identity-back.webp
decoration,scroll-banner,空白卷轴条,181,70,True,public/art/decoration/scroll-banner.png,public/art/decoration/scroll-banner.webp
decoration,parchment-square,空白羊皮纸,124,126,True,public/art/decoration/parchment-square.png,public/art/decoration/parchment-square.webp
decoration,parchment-panel,空白羊皮纸面板,238,122,True,public/art/decoration/parchment-panel.png,public/art/decoration/parchment-panel.webp
decoration,dark-panel,空白深色描金面板,206,134,True,public/art/decoration/dark-panel.png,public/art/decoration/dark-panel.webp
decoration,speech-parchment,空白羊皮纸消息框,154,110,True,public/art/decoration/speech-parchment.png,public/art/decoration/speech-parchment.webp
decoration,speech-blue,空白蓝色消息框,156,109,True,public/art/decoration/speech-blue.png,public/art/decoration/speech-blue.webp
decoration,wax-seal,红色蜡封,120,118,True,public/art/decoration/wax-seal.png,public/art/decoration/wax-seal.webp
decoration,ornamental-divider,金属装饰分隔线,171,43,True,public/art/decoration/ornamental-divider.png,public/art/decoration/ornamental-divider.webp
roles,washerwoman,洗衣妇,87,87,True,public/art/roles/washerwoman.png,public/art/roles/washerwoman.webp
